query_index,query_label,top1_gallery_index,top1_gallery_label,top1_score,AP_percent,first_hit_rank,hit@1,hit@5,hit@10,path,label_name,alpha
0,7,2568,7,0.9347196221351624,54.51927185058594,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_1854.tif,Residential,0.3
1,3,1352,7,0.9567145109176636,13.970483839511871,4,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_43.tif,Highway,0.3
2,6,1374,4,0.9701119065284729,20.372003316879272,3,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_2140.tif,PermanentCrop,0.3
3,6,1378,6,0.9643714427947998,39.16876018047333,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_2154.tif,PermanentCrop,0.3
4,5,1105,6,0.973039448261261,21.65023982524872,2,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_391.tif,Pasture,0.3
5,3,150,3,0.9710475206375122,29.662898182868958,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_2463.tif,Highway,0.3
6,3,2298,3,0.9549605846405029,18.763403594493866,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_924.tif,Highway,0.3
7,1,2477,1,0.9945065975189209,89.33197259902954,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_1572.tif,Forest,0.3
8,8,2460,7,0.9710738658905029,16.08494222164154,6,False,False,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/River/River_2259.tif,River,0.3
9,0,1546,0,0.9736734628677368,55.50512075424194,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_189.tif,AnnualCrop,0.3
10,5,869,0,0.9597123265266418,27.943935990333557,3,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_1249.tif,Pasture,0.3
11,6,207,6,0.9756922721862793,23.42710942029953,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_861.tif,PermanentCrop,0.3
12,1,133,1,0.9930386543273926,86.84103488922119,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_1205.tif,Forest,0.3
13,2,2036,7,0.9787070751190186,24.934671819210052,4,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1771.tif,HerbaceousVegetation,0.3
14,2,2345,2,0.9779882431030273,33.01609456539154,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_1912.tif,HerbaceousVegetation,0.3
15,2,2139,2,0.9861844182014465,57.736724615097046,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/HerbaceousVegetation/HerbaceousVegetation_2023.tif,HerbaceousVegetation,0.3
16,0,674,5,0.9770796298980713,11.103539913892746,6,False,False,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_1651.tif,AnnualCrop,0.3
17,3,70,3,0.9755523800849915,18.092642724514008,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_1733.tif,Highway,0.3
18,6,207,6,0.9776300191879272,18.983806669712067,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_591.tif,PermanentCrop,0.3
19,4,1175,4,0.9361947774887085,52.71278619766235,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_2357.tif,Industrial,0.3
20,1,1925,1,0.9833725690841675,35.20810306072235,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_2009.tif,Forest,0.3
21,9,60,9,0.9806277751922607,82.92717337608337,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/SeaLake/SeaLake_266.tif,SeaLake,0.3
22,5,55,5,0.9700478315353394,34.72446799278259,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_1600.tif,Pasture,0.3
23,1,1007,1,0.996553897857666,88.31799030303955,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_139.tif,Forest,0.3
24,9,1033,9,0.9985326528549194,86.47046685218811,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/SeaLake/SeaLake_755.tif,SeaLake,0.3
25,3,1921,5,0.9728874564170837,16.343948245048523,2,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_2488.tif,Highway,0.3
26,7,235,7,0.9831032752990723,55.69395422935486,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_2726.tif,Residential,0.3
27,0,2344,0,0.9737265706062317,14.379355311393738,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_645.tif,AnnualCrop,0.3
28,9,1076,9,0.997826099395752,83.40427875518799,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/SeaLake/SeaLake_595.tif,SeaLake,0.3
29,9,2294,9,0.9759007692337036,20.88852971792221,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/SeaLake/SeaLake_398.tif,SeaLake,0.3
30,1,1884,1,0.9946190714836121,86.3381564617157,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Forest/Forest_979.tif,Forest,0.3
31,8,1864,3,0.9857610464096069,18.490807712078094,10,False,False,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/River/River_814.tif,River,0.3
32,4,727,4,0.9455242156982422,69.37466859817505,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_1567.tif,Industrial,0.3
33,4,644,4,0.9327553510665894,79.82584834098816,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_2137.tif,Industrial,0.3
34,5,901,1,0.9786339998245239,18.931154906749725,2,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Pasture/Pasture_734.tif,Pasture,0.3
35,3,1486,4,0.9637864232063293,17.658737301826477,10,False,False,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_825.tif,Highway,0.3
36,4,1892,4,0.9658289551734924,80.42291402816772,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Industrial/Industrial_1641.tif,Industrial,0.3
37,7,498,7,0.9726876616477966,23.601049184799194,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_100.tif,Residential,0.3
38,0,1307,0,0.9680781364440918,66.87862873077393,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/AnnualCrop/AnnualCrop_257.tif,AnnualCrop,0.3
39,6,2587,6,0.9551442861557007,45.89100480079651,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/PermanentCrop/PermanentCrop_2288.tif,PermanentCrop,0.3
40,7,2073,7,0.9797861576080322,53.229159116744995,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Residential/Residential_1872.tif,Residential,0.3
41,8,2161,1,0.9797857999801636,16.490264236927032,3,False,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/River/River_995.tif,River,0.3
42,3,2129,3,0.9625287652015686,24.62216168642044,1,True,True,True,/Users/tienesng06/Desktop/ACIVS_ThayBach/data/EuroSAT_MS/Highway/Highway_1220.tif,Highway,0.3
